Rank,Team,Model Organization,Model,Dataset,N dataset,Dataset 95% CI,Supers > Forecaster?,p-val Supers > Forecaster?,Forecaster > Public?,p-val Forecaster > Public?,Pct times № 1,Pct times top 5%,Peer,BSS
1,Google DeepMind,Google DeepMind,green tree,64.9,487,"[63.7, 66.3]",No,0.88,Yes,<0.001,87.644,100.0,0.066,0.144
2,ForecastBench,ForecastBench,Superforecaster median forecast,63.8,521,"[62.5, 65.1]",—,—,Yes,<0.001,11.806,100.0,0.09,0.158
3,Google DeepMind,Google DeepMind,yellow mouse,63.3,487,"[62.2, 64.4]",No,0.29,Yes,<0.001,0.0,100.0,0.054,0.133
4,xAI,xAI,"Grok 4.20 (Beta, D)",62.6,392,"[61.2, 63.9]",Likely,0.10,Yes,<0.01,0.2,96.648,0.047,0.168
5,Google DeepMind,Google DeepMind,green-plant,62.5,629,"[61.2, 63.8]",Likely,0.08,Yes,<0.01,0.3,95.948,0.046,0.158
5,xAI,xAI,"Grok 4.20 (Beta, C)",62.5,392,"[61.2, 63.8]",Likely,0.08,Yes,<0.01,0.05,95.348,0.046,0.168
7,Google DeepMind,Google DeepMind,blue-turtle,61.9,629,"[60.9, 62.9]",Likely,0.01,Yes,<0.01,0.0,83.842,0.042,0.154
8,xAI,xAI,Grok 4.20 (Preview),61.7,923,"[61.0, 62.4]",Yes,<0.01,Yes,<0.01,0.0,85.493,0.041,0.104
8,xAI,xAI,"Grok 4.20 (Beta, A)",61.7,444,"[60.9, 62.6]",Yes,<0.01,Yes,<0.01,0.0,78.789,0.042,0.113
10,xAI,xAI,"Grok 4.20 (Beta, B)",61.4,444,"[60.6, 62.2]",Yes,<0.01,Likely,0.02,0.0,44.772,0.039,0.11
11,ForecastBench,OpenAI,GPT-5-2025-08-07 (zero shot with crowd forecast),61.3,2941,"[60.9, 61.7]",Yes,<0.01,Likely,0.01,0.0,28.664,0.041,0.114
11,Cassi-AI,Cassi-AI,Cassi ensemble_2,61.3,1813,"[60.7, 61.9]",Yes,<0.01,Likely,0.01,0.0,32.316,0.036,0.114
11,Cassi-AI,Cassi-AI,Cassi ensemble_2_crowdadj,61.3,1813,"[60.7, 61.9]",Yes,<0.01,Likely,0.01,0.0,32.316,0.036,0.114
11,sirbayes,sirbayes,open-flash-med-search05-tools11-data,61.3,444,"[60.3, 62.1]",Yes,<0.001,Likely,0.03,0.0,36.718,0.038,0.11
15,ForecastBench,OpenAI,GPT-4.5-Preview-2025-02-27 (scratchpad with crowd forecast),61.2,2884,"[60.8, 61.6]",Yes,<0.001,Likely,0.02,0.0,24.562,0.051,0.119
16,ForecastBench,Google,Gemini-2.5-Pro-Preview-03-25 (zero shot with crowd forecast),61.1,1423,"[60.4, 61.8]",Yes,<0.01,Likely,0.03,0.0,20.16,0.043,0.104
16,Lightning Rod Labs,Lightning Rod Labs,Foresight-32B,61.1,890,"[60.1, 62.0]",Yes,<0.001,Likely,0.04,0.0,21.111,0.033,0.125
18,Google DeepMind,Google DeepMind,red-lizard,60.9,629,"[59.9, 61.8]",Yes,<0.01,Likely,0.06,0.0,13.607,0.034,0.146
19,ForecastBench,Google,Gemini-3-Pro-Preview (zero shot with crowd forecast),60.8,5400,"[60.4, 61.1]",Yes,<0.001,Likely,0.05,0.0,0.0,0.035,0.112
19,ForecastBench,OpenAI,O4-Mini-2025-04-16 (zero shot with crowd forecast),60.8,4776,"[60.3, 61.2]",Yes,<0.001,Likely,0.05,0.0,1.251,0.053,0.118
21,Anonymous 1,Anonymous 1,Ensemble,60.7,3056,"[60.2, 61.3]",Yes,<0.001,Likely,0.06,0.0,0.4,0.033,0.108
22,ForecastBench,OpenAI,O3-2025-04-16 (zero shot with crowd forecast),60.6,6120,"[60.2, 61.0]",Yes,<0.001,Likely,0.07,0.0,0.0,0.034,0.101
22,ForecastBench,Anthropic,Claude-Opus-4-20250514 (scratchpad with crowd forecast),60.6,1141,"[59.9, 61.3]",Yes,<0.001,Likely,0.08,0.0,2.201,0.058,0.113
24,ForecastBench,OpenAI,O4-Mini-2025-04-16 (scratchpad with crowd forecast),60.5,4776,"[60.1, 61.0]",Yes,<0.001,Likely,0.08,0.0,0.0,0.051,0.116
24,Anonymous 1,Anonymous 1,orcas,60.5,1445,"[59.4, 61.6]",Yes,<0.001,No,0.12,0.0,5.603,0.032,0.094
24,ForecastBench,Google,Gemini-2.5-Flash-Preview-04-17 (scratchpad with crowd forecast),60.5,1423,"[59.6, 61.4]",Yes,<0.001,No,0.11,0.0,2.801,0.038,0.099
24,ForecastBench,OpenAI,O3-2025-04-16 (scratchpad with crowd forecast),60.5,1423,"[59.9, 61.2]",Yes,<0.001,Likely,0.08,0.0,0.4,0.039,0.1
28,ForecastBench,OpenAI,GPT-5-Mini-2025-08-07 (zero shot with crowd forecast),60.4,9664,"[60.0, 60.7]",Yes,<0.001,No,0.12,0.0,0.0,0.032,0.11
28,Mantic,Mantic,mantic-2026-01-16,60.4,2035,"[59.7, 61.0]",Yes,<0.001,No,0.13,0.0,0.25,0.033,0.12
28,Anonymous 1,Anonymous 1,orion,60.4,1442,"[59.6, 61.2]",Yes,<0.001,No,0.11,0.0,0.85,0.031,0.102
31,ForecastBench,Anthropic,Claude-3-7-Sonnet-20250219 (scratchpad with crowd forecast),60.3,9715,"[60.0, 60.6]",Yes,<0.001,No,0.12,0.0,0.0,0.043,0.114
31,ForecastBench,OpenAI,GPT-4.1-2025-04-14 (scratchpad with crowd forecast),60.3,6199,"[59.7, 60.8]",Yes,<0.001,No,0.14,0.0,0.0,0.046,0.11
31,ForecastBench,Google,Gemini-2.5-Flash-Preview-04-17 (zero shot with crowd forecast),60.3,1423,"[59.4, 61.3]",Yes,<0.001,No,0.16,0.0,0.95,0.037,0.098
34,ForecastBench,xAI,Grok-4-Fast-Reasoning (zero shot with crowd forecast),60.2,7700,"[59.8, 60.5]",Yes,<0.001,No,0.16,0.0,0.0,0.03,0.107
34,ForecastBench,xAI,Grok-4-1-Fast-Reasoning (zero shot with crowd forecast),60.2,6723,"[59.9, 60.6]",Yes,<0.001,No,0.15,0.0,0.0,0.031,0.11
34,ForecastBench,Anthropic,Claude-Opus-4-5-20251101 (zero shot with crowd forecast),60.2,2895,"[59.8, 60.6]",Yes,<0.001,No,0.17,0.0,0.0,0.029,0.096
34,Anonymous 1,Anonymous 1,capella,60.2,923,"[59.4, 61.0]",Yes,<0.001,No,0.18,0.0,0.05,0.029,0.092
34,ForecastBench,Z.ai,GLM-5 (zero shot with crowd forecast),60.2,879,"[59.5, 60.8]",Yes,<0.001,No,0.17,0.0,0.0,0.03,0.127
39,ForecastBench,Google,Gemini-2.5-Pro (zero shot with crowd forecast),60.1,9664,"[59.7, 60.4]",Yes,<0.001,No,0.19,0.0,0.0,0.03,0.107
39,ForecastBench,Anthropic,Claude-Opus-4-1-20250805 (zero shot with crowd forecast),60.1,8987,"[59.8, 60.5]",Yes,<0.001,No,0.17,0.0,0.0,0.03,0.106
39,ForecastBench,Anthropic,Claude-Sonnet-4-5-20250929 (zero shot with crowd forecast),60.1,7859,"[59.8, 60.4]",Yes,<0.001,No,0.18,0.0,0.0,0.028,0.106
39,ForecastBench,xAI,Grok-4-0709 (zero shot with crowd forecast),60.1,5426,"[59.7, 60.6]",Yes,<0.001,No,0.18,0.0,0.0,0.028,0.097
39,ForecastBench,Google,Gemini-3.1-Pro-Preview (zero shot with crowd forecast),60.1,1804,"[59.7, 60.5]",Yes,<0.001,No,0.18,0.0,0.0,0.029,0.124
39,Anonymous 1,Anonymous 1,deneb,60.1,729,"[58.8, 61.3]",Yes,<0.001,No,0.25,0.0,1.951,0.028,0.09
39,Mantic,Mantic,mantic-2026-03-01,60.1,481,"[58.9, 61.4]",Yes,<0.001,No,0.22,0.0,2.051,0.029,0.14
46,ForecastBench,OpenAI,GPT-4.5-Preview-2025-02-27 (zero shot with crowd forecast),59.9,2884,"[59.6, 60.3]",Yes,<0.001,No,0.24,0.0,0.0,0.041,0.109
46,ForecastBench,Anthropic,Claude-Opus-4-6 (zero shot with crowd forecast),59.9,2433,"[59.4, 60.3]",Yes,<0.001,No,0.27,0.0,0.0,0.027,0.126
46,ForecastBench,Anthropic,Claude-Opus-4-1-20250805 (scratchpad with crowd forecast),59.9,1128,"[59.2, 60.5]",Yes,<0.001,No,0.28,0.0,0.0,0.038,0.103
49,OracleMarkets,OracleMarkets,ensemble,59.8,392,"[58.6, 61.1]",Yes,<0.001,No,0.33,0.0,0.4,0.025,0.147
50,ForecastBench,Qwen,Qwen3-235B-A22B-Fp8-Tput (zero shot with crowd forecast),59.7,6554,"[59.4, 60.1]",Yes,<0.001,No,0.32,0.0,0.0,0.027,0.095
50,LightningRodLabs,LightningRodLabs,foresight-32b-V2,59.7,721,"[58.7, 60.7]",Yes,<0.001,No,0.35,0.0,0.05,0.027,0.086
50,sirbayes,sirbayes,gemini-3-1-pro_thk-high_srch-brave-long_crwd-1_data-tool-1_market-tool-0_tries-1,59.7,487,"[58.5, 60.8]",Yes,<0.001,No,0.38,0.0,0.1,0.026,0.105
53,Anonymous 1,Anonymous 1,canopus,59.6,1813,"[58.8, 60.3]",Yes,<0.001,No,0.41,0.0,0.0,0.023,0.1
53,ForecastBench,Anthropic,Claude-Sonnet-4-6 (zero shot with crowd forecast),59.6,1804,"[59.2, 60.1]",Yes,<0.001,No,0.36,0.0,0.0,0.025,0.12
53,ForecastBench,xAI,Grok-4.20-Beta-0309-Reasoning (zero shot with crowd forecast),59.6,444,"[59.0, 60.2]",Yes,<0.001,No,0.38,0.0,0.0,0.025,0.097
56,ForecastBench,OpenAI,GPT-5.2-2025-12-11 (zero shot with crowd forecast),59.5,3839,"[59.1, 60.0]",Yes,<0.001,No,0.40,0.0,0.0,0.026,0.116
56,Voicetree,Voicetree,voicetree-decisionflow-v0,59.5,392,"[58.0, 61.0]",Yes,<0.001,No,0.43,0.0,0.45,0.023,0.144
56,Voicetree,Voicetree,voicetree-decisionflow-v0_green,59.5,392,"[58.0, 61.1]",Yes,<0.001,No,0.43,0.0,0.6,0.023,0.144
59,ForecastBench,Anthropic,Claude-3-7-Sonnet-20250219 (zero shot with crowd forecast),59.4,15141,"[59.2, 59.6]",Yes,<0.001,No,0.47,0.0,0.0,0.031,0.101
59,LightningRodLabs,LightningRodLabs,foresight-v3,59.4,2433,"[58.8, 60.0]",Yes,<0.001,No,0.47,0.0,0.0,0.023,0.122
59,Anonymous 5,Anonymous 5,cosmic,59.4,629,"[58.4, 60.4]",Yes,<0.001,No,0.45,0.0,0.0,0.023,0.135
62,ForecastBench,Google,Gemini-3-Flash-Preview (zero shot with crowd forecast),59.3,3839,"[58.9, 59.7]",Yes,<0.001,No,0.50,0.0,0.0,0.024,0.115
62,ForecastBench,ForecastBench,Public median forecast,59.3,521,"[57.7, 61.0]",Yes,<0.001,—,—,0.0,0.95,0.056,0.124
62,Voicetree,Voicetree,voicetree-decisionflow-v0_red,59.3,392,"[57.9, 60.8]",Yes,<0.001,No,0.50,0.0,0.05,0.021,0.143
65,Anonymous 1,Anonymous 1,arcturus,59.1,1813,"[58.3, 59.8]",Yes,<0.001,No,0.61,0.0,0.0,0.019,0.096
65,ForecastBench,OpenAI,GPT-5.4-2026-03-05 (zero shot with crowd forecast),59.1,836,"[58.3, 59.9]",Yes,<0.001,No,0.60,0.0,0.0,0.021,0.115
67,ForecastBench,OpenAI,GPT-4.1-2025-04-14 (zero shot with crowd forecast),59.0,15863,"[58.7, 59.4]",Yes,<0.001,No,0.66,0.0,0.0,0.027,0.099
67,ForecastBench,Anthropic,Claude-Haiku-4-5-20251001 (zero shot with crowd forecast),59.0,8536,"[58.6, 59.4]",Yes,<0.001,No,0.66,0.0,0.0,0.02,0.099
67,ForecastBench,DeepSeek,DeepSeek-R1 (scratchpad with crowd forecast),59.0,7195,"[58.6, 59.3]",Yes,<0.001,No,0.69,0.0,0.0,0.032,0.1
70,ForecastBench,Moonshot,Kimi-K2-Instruct-0905 (zero shot with crowd forecast),58.9,6732,"[58.5, 59.3]",Yes,<0.001,No,0.68,0.0,0.0,0.02,0.094
70,ForecastBench,OpenAI,O3-Mini-2025-01-31 (zero shot with crowd forecast),58.9,5754,"[58.5, 59.3]",Yes,<0.001,No,0.69,0.0,0.0,0.031,0.1
70,ForecastBench,Anthropic,Claude-Sonnet-4-20250514 (zero shot with crowd forecast),58.9,4965,"[58.4, 59.3]",Yes,<0.001,No,0.72,0.0,0.0,0.022,0.099
70,ForecastBench,Google,Gemini-3.1-Flash-Lite-Preview (zero shot with crowd forecast),58.9,836,"[58.1, 59.8]",Yes,<0.001,No,0.68,0.0,0.0,0.019,0.114
74,ForecastBench,DeepSeek,DeepSeek-V3 (scratchpad with crowd forecast),58.8,7195,"[58.5, 59.1]",Yes,<0.001,No,0.74,0.0,0.0,0.031,0.099
74,ForecastBench,OpenAI,GPT-5.1-2025-11-13 (zero shot with crowd forecast),58.8,6002,"[58.3, 59.2]",Yes,<0.001,No,0.75,0.0,0.0,0.019,0.098
74,calibralabs,calibralabs,calibra,58.8,1412,"[58.1, 59.5]",Yes,<0.001,No,0.72,0.0,0.0,0.019,0.106
