base,freeze,n_common,absdev_base,absdev_freeze,brier_base,brier_freeze,edge_base,edge_freeze,beta_fc_base,beta_fc_freeze,beta_ref_base,beta_ref_freeze,d_absdev,d_brier,d_edge,d_beta_fc,d_beta_ref
Anthropic.claude_2p1_scratchpad,Anthropic.claude_2p1_scratchpad_with_freeze_values,256,0.32629651779100527,0.32010908468395066,0.23008730864197527,0.23312278475387196,-0.1606466116357768,-0.1636820877476734,-0.17471127255589564,-0.30816638812694497,1.349800505214308,1.3631680647481377,-0.006187433107054607,0.0030354761118966955,-0.0030354761118966123,-0.13345511557104933,0.01336755953382962
Anthropic.claude_2p1_scratchpad_with_news,Anthropic.claude_2p1_scratchpad_with_news_with_freeze_values,256,0.33011776535996473,0.30377402721640206,0.23637501102292774,0.22279791936908608,-0.16693431401672917,-0.15335722236288757,-0.16797945770036038,-0.18210129730048172,1.3428205727840068,1.360575613959566,-0.026343738143562667,-0.01357709165384166,0.013577091653841605,-0.014121839600121339,0.01775504117555915
Anthropic.claude_2p1_zero_shot,Anthropic.claude_2p1_zero_shot_with_freeze_values,256,0.3212895734555556,0.20002935361746033,0.2414112962962963,0.20558496654638825,-0.17197059929009775,-0.1361442695401897,-0.22427487324718937,-0.3165356005151999,1.3392496095504212,1.4673649123817372,-0.12126021983809526,-0.03582632974990804,0.03582632974990804,-0.09226072726801055,0.128115302831316
Anthropic.claude_3_haiku_scratchpad,Anthropic.claude_3_haiku_scratchpad_with_freeze_values,256,0.3666233760118166,0.31449410767213404,0.26368236331569667,0.2349370625396825,-0.19424166630949813,-0.165496365533484,-0.44831303248303667,-0.4167218275321324,1.3698637859986025,1.4121153208637507,-0.052129268339682566,-0.02874530077601417,0.028745300776014115,0.031591204950904284,0.04225153486514821
Anthropic.claude_3_haiku_scratchpad_with_news,Anthropic.claude_3_haiku_scratchpad_with_news_with_freeze_values,256,0.37899755861322754,0.34371952169153436,0.27152998236331566,0.2490147041369301,-0.20208928535711718,-0.17957400713073163,-0.38529386650849645,-0.26114329565638633,1.3565417772547093,1.3611810725172424,-0.03527803692169318,-0.02251527822638555,0.02251527822638555,0.12415057085211012,0.00463929526253315
Anthropic.claude_3_haiku_zero_shot,Anthropic.claude_3_haiku_zero_shot_with_freeze_values,256,0.3453718666280423,0.2814748654335097,0.24305555555555555,0.21394811196241076,-0.17361485854935704,-0.14450741495621222,-0.08303481797254668,-0.20392311558779883,1.3306890160500884,1.400376737309376,-0.06389700119453262,-0.029107443593144794,0.02910744359314482,-0.12088829761525215,0.06968772125928768
Anthropic.claude_3_opus_scratchpad,Anthropic.claude_3_opus_scratchpad_with_freeze_values,256,0.2616004246089947,0.16836398488765433,0.18857306349206351,0.14816452107583777,-0.11913236648586495,-0.07872382406963921,-0.0429792733649836,-0.27475452895906366,1.340014682016048,1.4857677016321542,-0.09323643972134035,-0.04040854241622574,0.04040854241622574,-0.23177525559408008,0.14575301961610632
Anthropic.claude_3_opus_scratchpad_with_news,Anthropic.claude_3_opus_scratchpad_with_news_with_freeze_values,256,0.2857691885310406,0.24016630902592592,0.20614285714285716,0.18818330698297092,-0.13670216013665865,-0.11874260997677237,-0.057541239366487605,-0.4535211715781085,1.3409164271582437,1.4933724334260785,-0.045602879505114685,-0.017959550159886234,0.017959550159886276,-0.3959799322116209,0.15245600626783484
Anthropic.claude_3_opus_zero_shot,Anthropic.claude_3_opus_zero_shot_with_freeze_values,256,0.219635478894709,0.10895099481640211,0.17402120492063494,0.13304422678458644,-0.10458050791443639,-0.06360352977838789,0.09707293098316412,-0.48286431157571685,1.2954324568105537,1.7753392515568354,-0.11068448407830689,-0.0409769781360485,0.0409769781360485,-0.579937242558881,0.4799067947462816
Anthropic.claude_3p5_sonnet_scratchpad,Anthropic.claude_3p5_sonnet_scratchpad_with_freeze_values,256,0.20984756595220458,0.08625814297089947,0.15954613756613756,0.11536829142235726,-0.09010544055993903,-0.045927594416158735,0.013068055477632814,-0.47834317545827754,1.3249142770463156,1.7418902981329765,-0.12358942298130511,-0.0441778461437803,0.0441778461437803,-0.4914112309359103,0.4169760210866609
