fid,org,N,mean_brier,mean_brier_ref,edge,mean_abs_dev_from_ref,N_real,mean_brier_real,edge_real,brier_rank,edge_rank,beta_ref,beta_fc,se_fc,fc_rank
2nd_news_2024-07-21.Anthropic.claude_3p5_sonnet_scratchpad_with_news,ForecastBench,567,0.17496669135802467,0.06944069700619854,-0.10552599435182616,0.22355807584250442,565,0.1747010867256637,-0.10505160387276184,52,52,1.3601863013630842,-0.09417051675241785,0.17061640865189298,54.0
2nd_news_2024-07-21.OpenAI.gpt_4o_scratchpad_with_news,ForecastBench,567,0.14976895589065253,0.06944069700619854,-0.08032825888445402,0.20071303970246915,564,0.14923581203900707,-0.07947134116797062,22,22,1.3068798940979836,0.06721470846589168,0.15962145429995955,14.0
Anthropic.claude_2p1_scratchpad,ForecastBench,567,0.23008730864197527,0.06944069700619854,-0.1606466116357768,0.32629651779100527,236,0.20215891525423726,-0.14449872868864141,98,98,1.349800505214308,-0.17471127255589564,0.22813848125824238,75.0
Anthropic.claude_2p1_scratchpad_with_freeze_values,ForecastBench,567,0.23312278475387196,0.06944069700619854,-0.1636820877476734,0.32010908468395066,314,0.21952426418931656,-0.1433345900296701,100,100,1.3631680647481377,-0.30816638812694497,0.13906250315835997,97.0
Anthropic.claude_2p1_scratchpad_with_news,ForecastBench,567,0.23637501102292774,0.06944069700619854,-0.16693431401672917,0.33011776535996473,346,0.22767234465317918,-0.1527939354002284,104,104,1.3428205727840068,-0.16797945770036038,0.18320051501796036,74.0
Anthropic.claude_2p1_scratchpad_with_news_with_freeze_values,ForecastBench,567,0.22279791936908608,0.06944069700619854,-0.15335722236288757,0.30377402721640206,391,0.21055350455823993,-0.1388179708985107,95,95,1.360575613959566,-0.18210129730048172,0.18751484110485875,76.0
Anthropic.claude_2p1_superforecaster_with_news_1,ForecastBench,567,0.2596462103174603,0.06944069700619854,-0.1902055133112618,0.3555430633994709,319,0.2671454584639499,-0.20323960159811674,119,119,1.3303788691749074,-0.07770413129668052,0.1619641628263012,47.0
Anthropic.claude_2p1_superforecaster_with_news_2,ForecastBench,567,0.25404180070546734,0.06944069700619854,-0.18460110369926883,0.35184275055079367,285,0.25804105614035083,-0.18902774858232654,118,118,1.3353193506076781,-0.19049553394464822,0.1738301006417871,79.0
Anthropic.claude_2p1_superforecaster_with_news_3,ForecastBench,567,0.25139351851851854,0.06944069700619854,-0.18195282151232,0.34974579347319223,465,0.2516991935483871,-0.1796871575366366,116,116,1.3231097051720446,0.14226465199952165,0.20672179311092287,6.0
Anthropic.claude_2p1_zero_shot,ForecastBench,567,0.2414112962962963,0.06944069700619854,-0.17197059929009775,0.3212895734555556,557,0.2412571005385996,-0.17141087353348194,106,106,1.3392496095504212,-0.22427487324718937,0.17151357493922278,84.0
