cfg,N,nq,brier,edge,ref_brier,is_fb,rel,beta_fc,se_fc,vif,dll,round
ForecastBench | Claude-2.1 (scratchpad with freeze values),567,256,0.23312278475387196,-0.1636820877476734,0.06944069700619854,True,2023.9,-0.30816638812694497,0.11341958348775252,1.000492499613768,0.004642458356864421,2024-07-21
ForecastBench | Claude-2.1 (scratchpad with news with freeze values),567,256,0.22279791936908608,-0.15335722236288757,0.06944069700619854,True,2023.9,-0.18210129730048172,0.18935309004337192,1.084050598617309,0.0008233310347128238,2024-07-21
ForecastBench | Claude-2.1 (scratchpad with news),567,256,0.23637501102292774,-0.16693431401672917,0.06944069700619854,True,2023.9,-0.16797945770036038,0.17095490293672752,1.018888450687309,0.0007387086354463012,2024-07-21
ForecastBench | Claude-2.1 (scratchpad),567,256,0.23008730864197527,-0.1606466116357768,0.06944069700619854,True,2023.9,-0.17471127255589564,0.16425567557268417,1.0729601892872558,0.000498328761001735,2024-07-21
ForecastBench | Claude-2.1 (superforecaster with news 1),567,256,0.2596462103174603,-0.1902055133112618,0.06944069700619854,True,2023.9,-0.07770413129668052,0.1294607917258641,1.0022923053355863,0.00019577838515790974,2024-07-21
ForecastBench | Claude-2.1 (superforecaster with news 2),567,256,0.25404180070546734,-0.18460110369926883,0.06944069700619854,True,2023.9,-0.19049553394464822,0.1330932530849513,1.0086420958493685,0.0010640592000180174,2024-07-21
ForecastBench | Claude-2.1 (superforecaster with news 3),567,256,0.25139351851851854,-0.18195282151232,0.06944069700619854,True,2023.9,0.14226465199952165,0.18016048428731501,1.053024300005461,0.0004219842026640519,2024-07-21
ForecastBench | Claude-2.1 (zero shot with freeze values),567,256,0.20558496654638825,-0.1361442695401897,0.06944069700619854,True,2023.9,-0.3165356005151999,0.1218121691461028,1.1349397767655152,0.008652608579056132,2024-07-21
ForecastBench | Claude-2.1 (zero shot),567,256,0.2414112962962963,-0.17197059929009775,0.06944069700619854,True,2023.9,-0.22427487324718937,0.1544080507972032,1.006217377999007,0.0015467671910393585,2024-07-21
ForecastBench | Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),567,256,0.17496669135802467,-0.10552599435182616,0.06944069700619854,True,2024.4687214611872,-0.09417051675241785,0.16235918273065278,1.4136747952287412,0.0002695119823674221,2024-07-21
ForecastBench | Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),567,256,0.11536829142235726,-0.045927594416158735,0.06944069700619854,True,2024.4687214611872,-0.47834317545827754,0.26837094228123703,2.747344411154669,0.0038950512322574447,2024-07-21
