round,year,n_fb,n_agentic,n_questions,rows_per_cfg_med,rho_edge_negbrier,ref_brier_std,c_mean,c_std,fb_dll_mean,fb_dll_median,fb_dll_frontier,fb_dll_max,fb_brier_min,agentic_dll_mean,agentic_dll_median,agentic_brier_min
2024-07-21,2024.554794520548,130,0,256,567,1.0,0.0,0.06944069700619854,2.350315959995241e-17,0.001752206567200524,0.0006628830742079648,0.0016698336262249605,0.009814606713534433,0.09988917199358069,,,
2025-03-02,2025.169406392694,32,0,206,464,1.0,0.0,0.05346775063229569,1.0648068352018058e-17,0.00126529588568373,0.0009315562489218966,0.0011070379142348549,0.004570759838671279,0.06184901298685344,,,
2025-03-16,2025.2077625570778,32,0,210,460,1.0,0.0,0.038223890846571504,1.3011358683430336e-17,0.006536368336519511,0.006376336778457383,0.004117647791957882,0.022344824237995276,0.05003088577304456,,,
2025-03-30,2025.2461187214612,52,0,189,414,1.0,7.00659203291822e-18,0.0327006193484897,1.1979176203853524e-17,0.0027952600642768277,0.0012258927092309371,0.005616422837710171,0.016584095000499663,0.04234873100275241,,,
2025-04-13,2025.2828767123287,60,0,193,421,0.9999999999999998,1.399490201752259e-17,0.04948635477185997,1.7282429105368502e-17,0.005824372830503267,0.005649773058837524,0.013157129400082304,0.018081296608088725,0.0473508652008318,,,
2025-04-27,2025.3212328767124,64,0,185,416,0.9999999999999998,6.993747673752627e-18,0.056101025022944076,1.1564823173178714e-17,0.0027969176698653094,0.001553220172219739,0.0053540672919788505,0.01861051350022687,0.06818458694711538,,,
2025-05-11,2025.3607305936073,68,0,190,414,1.0,0.0,0.09161985454660086,1.7781941782497022e-17,0.011887162111566648,0.007326509682889079,0.001361528107409675,0.04747473491144211,0.09542429377896271,,,
2025-05-25,2025.3990867579907,68,0,212,478,1.0,0.0,0.04508844360999772,1.4658463163064002e-17,0.003957298219725501,0.0027510680625056193,0.0037071737142533334,0.015731455053291,0.054552982548908086,,,
2025-06-08,2025.4358447488585,36,0,201,461,1.0,1.4074645694392706e-17,0.06520471992478086,2.274312547765966e-17,0.0013582428225056159,0.0008394749748273972,0.00167146191610368,0.005657651981040783,0.07032455695712231,,,
2025-06-22,2025.4742009132422,32,0,218,491,1.0,0.0,0.04402349872818014,1.586232732666718e-17,0.006290721292053675,0.0026431498459947517,0.0014780758440778759,0.023850607919465378,0.0560889378383306,,,
2025-08-03,2025.588812785388,36,1,209,452,1.0,7.037322847196353e-18,0.041156796702776235,1.8433368350894202e-17,0.0028320941526008055,0.001700106370762408,0.005556780830696377,0.013320936339349875,0.05791890651687832,0.0013356457388128554,0.0013356457388128554,0.09760828816371682
2025-08-17,2025.6271689497717,30,0,218,498,1.0,0.0,0.0508152025330888,1.3140379797438299e-17,0.002531355787209123,0.0020576025983138806,0.0052581743522084196,0.007389382724087521,0.06229369714097052,,,
2025-08-31,2025.6655251141551,44,0,187,417,1.0,1.4038229991210993e-17,0.048321459947892435,1.4157368449740047e-17,0.005136484760179181,0.0024781543929410232,0.008045666393633695,0.02253097401434803,0.05882483765563549,,,
2025-10-26,2025.8184931506848,42,15,104,104,1.0,0.0,0.03978993845153215,1.1365660032624268e-17,0.002383435874662272,0.000889814100747049,0.006699369855266789,0.010152696575518401,0.032398869615384615,0.005612244495917257,0.003946896563310692,0.03808638121461224
2025-11-09,2025.8552511415523,42,13,102,102,1.0,7.02300477977527e-18,0.03161577081392652,1.4294630800037387e-17,0.00691027084330136,0.0030271661384748162,0.0060118717174913764,0.04204322394578724,0.031206833333333333,0.011663690145940299,0.008989765239460162,0.0273127631372549
2025-11-23,2025.893607305936,48,1,104,104,1.0,0.0,0.042139375263604194,1.1041162427771185e-17,0.003487139854688088,0.0017027536768676743,0.00018318563603346116,0.03392179786419972,0.038205679639423076,0.0005123425073090442,0.0005123425073090442,0.05893251241568313
2025-12-07,2025.9331050228311,48,4,95,95,1.0,0.0,0.05360560605384298,2.2267117406560844e-17,0.0028215454250533002,0.0016508800149896154,0.0008214652740150167,0.0131952675485358,0.055275193052631566,0.0008019770231078495,0.0007526090404069999,0.060306095556597564
2025-12-21,2025.9714611872148,48,4,99,99,1.0,0.0,0.012901724547904633,1.4140583119805545e-17,0.006458451463798936,0.003582090932187323,0.0031728304617931404,0.04625542975273739,0.014466896452821872,0.004267586717069087,0.004554074132615604,0.017526118357514504
2026-01-04,2026.0082191780823,48,6,50,50,1.0,1.402464679500535e-17,0.06786947146976556,1.5548815834972354e-17,0.015013698815875463,0.007284256305745166,0.009453170952460893,0.06530422794156339,0.06379578500000001,0.006012733545058087,0.0023520123953474224,0.05596147587276001
2026-01-18,2026.0465753424658,0,0,45,45,,,,,,,,,,,,
2026-02-01,2026.0833333333333,0,0,39,39,,,,,,,,,,,,
2026-02-15,2026.1216894977167,0,0,40,40,,,,,,,,,,,,
2026-03-01,2026.1666666666667,50,5,106,106,0.9999999999999999,0.0,0.09033791513126765,2.7110842006226168e-17,0.002047004640776479,0.0007428322947826777,0.0009378136733189075,0.011271076388726549,0.10079185141509436,0.008224279878914319,0.0037434304644854755,0.09469446216241414
2026-03-15,2026.2050228310502,44,7,117,117,1.0,1.4038229991210993e-17,0.086748403528322,2.422265049516661e-17,0.003809449180528685,0.0021093654428968973,0.006438404003894848,0.024439644753524722,0.0895529081196581,0.004166267463292803,0.0034958309476920742,0.08630619034855547
2026-03-29,2026.2433789954339,52,7,175,102,0.9999999999999999,0.0,0.1307414638808329,5.067451620406765e-17,0.002584358733309879,0.001360006622729617,0.0013032606813686818,0.01447669351621695,0.14066136274509805,0.002571002898271815,0.0017718121585244431,0.13717935049019608
2026-04-12,2026.2801369863014,54,10,80,80,0.9999999999999999,4.2024295600310274e-17,0.10271340207576021,6.013036614998078e-17,0.002838996018593762,0.0015655770823878035,0.00206749055973973,0.01603877341189741,0.12856639062500003,0.008259282026412414,0.006584972836698743,0.10067952936096278
2026-04-26,2026.3184931506848,54,10,76,76,0.9999999999999999,5.603239413374704e-17,0.1515611368216823,5.0578813538473294e-17,0.003338148412012456,0.0014473943059456367,0.008215629522881436,0.02922456682176814,0.1527780427631579,0.009134629519472942,0.0016560836249664922,0.13888026315789476
2026-05-10,2026.35799086758,42,10,53,53,1.0,2.809201911910108e-17,0.17201953299695946,3.901223391548788e-17,0.007583754186205529,0.004535683828167443,0.006102615475075065,0.030296134492223493,0.16349044339622645,0.03702588614330666,0.03903469130698267,0.1463728097513528
2026-05-24,2026.3963470319634,0,0,33,33,,,,,,,,,,,,
