brier_rank,model,N,brier,edge,edge_rank,dll_adj,freeze
1,GPT-4o (scratchpad with freeze values),567.0,0.09988917199358069,-0.03044847498738216,1,-0.000465254533984596,True
2,GPT-4-Turbo-2024-04-09 (scratchpad with freeze values),567.0,0.11269696306749352,-0.043256266061295005,2,-0.00018396424993306448,True
3,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),567.0,0.11536829142235726,-0.045927594416158735,3,0.0030132170170898962,True
4,GPT-4-Turbo-2024-04-09 (zero shot with freeze values),567.0,0.11668289002833779,-0.047242193022139264,4,0.00013072801555609145,True
5,GPT-4o (scratchpad with news with freeze values),567.0,0.11900390755252468,-0.04956321054632617,5,0.004649543277164865,True
6,GPT-4-0613 (zero shot with freeze values),567.0,0.12179198657719426,-0.05235128957099572,6,0.0039380732682697435,True
7,GPT-4-Turbo-2024-04-09 (scratchpad with news with freeze values),567.0,0.12356553154482594,-0.0541248345386274,7,-0.0007169956197418002,True
8,Gemini-1.5-Flash (zero shot with freeze values),567.0,0.13228230996083504,-0.06284161295463651,8,0.0005528763338799694,True
9,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),567.0,0.1329305236915848,-0.06348982668538627,9,0.00654604168799233,True
10,Claude-3-Opus-20240229 (zero shot with freeze values),567.0,0.13304422678458644,-0.06360352977838789,10,0.004193524897944359,True
11,Claude-3-5-Sonnet-20240620 (scratchpad with news with freeze values),567.0,0.13805416436861773,-0.0686134673624192,11,0.0012385210303871726,True
12,Llama-3-70b-Chat-Hf (zero shot with freeze values),567.0,0.13822237956070627,-0.06878168255450776,12,0.0011456728327307805,True
